등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,131,18467,4.4
2,국어,125,29040,6.92
3,국어,116,56516,13.46
4,국어,108,65450,15.59
5,국어,96,87736,20.9
6,국어,84,71371,17
7,국어,73,46077,10.98
8,국어,62,29849,7.11
9,국어,62미만,15279,3.64
1,수학 가형,130,7066,5.07
2,수학 가형,123,12906,9.26
3,수학 가형,117,12391,8.89
4,수학 가형,109,23882,17.13
5,수학 가형,98,27992,20.08
6,수학 가형,84,23165,16.61
7,수학 가형,70,17042,12.22
8,수학 가형,62,10713,7.68
9,수학 가형,62미만,4272,3.06
1,수학 나형,131,13894,5.19
2,수학 나형,126,16962,6.34
3,수학 나형,120,33246,12.43
4,수학 나형,108,43506,16.26
5,수학 나형,91,53487,20
6,수학 나형,80,47210,17.65
7,수학 나형,75,36376,13.6
8,수학 나형,72,13393,5.01
9,수학 나형,72미만,9409,3.52
1,생활과 윤리,65,5444,4.19
2,생활과 윤리,63,10696,8.23
3,생활과 윤리,60,15441,11.88
4,생활과 윤리,54,24262,18.67
5,생활과 윤리,47,23056,17.74
6,생활과 윤리,41,21200,16.32
7,생활과 윤리,37,15595,12
8,생활과 윤리,33,11428,8.8
9,생활과 윤리,33미만,2815,2.17
1,윤리와 사상,64,1678,5.77
2,윤리와 사상,62,2990,10.29
3,윤리와 사상,60,2795,9.62
4,윤리와 사상,55,4615,15.88
5,윤리와 사상,46,5811,19.99
6,윤리와 사상,40,5449,18.75
7,윤리와 사상,37,2973,10.23
8,윤리와 사상,34,1895,6.52
9,윤리와 사상,34미만,857,2.95
1,한국 지리,63,4013,8.95
2,한국 지리,61,5459,12.18
3,한국 지리,60,861,1.92
4,한국 지리,56,8173,18.23
5,한국 지리,47,8444,18.83
6,한국 지리,40,9088,20.27
7,한국 지리,36,4379,9.77
8,한국 지리,33,3166,7.06
9,한국 지리,33미만,1249,2.79
1,세계 지리,63,4799,13.64
2,세계 지리,ㅡ,ㅡ,ㅡ
3,세계 지리,60,4192,11.91
4,세계 지리,55,5832,16.57
5,세계 지리,46,6581,18.7
6,세계 지리,40,6150,17.48
7,세계 지리,37,4496,12.78
8,세계 지리,35,1831,5.2
9,세계 지리,35미만,1305,3.71
1,동아시아사,66,1134,4.64
2,동아시아사,64,2158,8.84
3,동아시아사,60,2663,10.9
4,동아시아사,53,3967,16.24
5,동아시아사,45,5321,21.79
6,동아시아사,41,3966,16.24
7,동아시아사,38,2806,11.49
8,동아시아사,35,1837,7.52
9,동아시아사,35미만,571,2.34
1,세계사,67,1200,6.3
2,세계사,65,1154,6.06
3,세계사,61,2059,10.81
4,세계사,52,3537,18.56
5,세계사,44,4004,21.01
6,세계사,41,2767,14.52
7,세계사,38,3315,17.4
8,세계사,37,397,2.08
9,세계사,37미만,622,3.26
1,경제,67,238,4.69
2,경제,63,509,10.03
3,경제,59,624,12.29
4,경제,54,692,13.63
5,경제,45,1071,21.1
6,경제,41,790,15.56
7,경제,38,624,12.29
8,경제,35,404,7.96
9,경제,35미만,124,2.44
1,정치와 법,66,949,4.06
2,정치와 법,63,2099,8.98
3,정치와 법,60,2339,10
4,정치와 법,54,4251,18.18
5,정치와 법,46,4658,19.92
6,정치와 법,40,4138,17.7
7,정치와 법,38,2388,10.21
8,정치와 법,35,1889,8.08
9,정치와 법,35미만,671,2.87
1,사회·문화,65,7221,5.79
2,사회·문화,62,7837,6.28
3,사회·문화,59,16384,13.14
4,사회·문화,54,20583,16.5
5,사회·문화,47,28287,22.68
6,사회·문화,42,15731,12.61
7,사회·문화,36,16154,12.95
8,사회·문화,33,8650,6.94
9,사회·문화,33미만,3864,3.1
1,물리학 Ⅰ,64,3488,6.55
2,물리학 Ⅰ,62,4188,7.86
3,물리학 Ⅰ,59,6894,12.94
4,물리학 Ⅰ,55,7836,14.71
5,물리학 Ⅰ,48,9818,18.43
