등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,126,19858,4.45
2,국어,122,31160,6.99
3,국어,117,51869,11.63
4,국어,110,76497,17.15
5,국어,99,92636,20.77
6,국어,85,73879,16.56
7,국어,70,53106,11.91
8,국어,58,31123,6.98
9,국어,58미만,15915,3.57
1,수학,133,22571,5.26
2,수학,126,33706,7.86
3,수학,119,43429,10.12
4,수학,107,72544,16.91
5,수학,91,89600,20.89
6,수학,80,73072,17.03
7,수학,76,52708,12.29
8,수학,72,28628,6.67
9,수학,72미만,12708,2.96
1,생활과 윤리,67,6470,4.54
2,생활과 윤리,63,10599,7.44
3,생활과 윤리,59,16945,11.89
4,생활과 윤리,53,25305,17.75
5,생활과 윤리,47,28249,19.82
6,생활과 윤리,42,22479,15.77
7,생활과 윤리,36,22260,15.62
8,생활과 윤리,34,5149,3.61
9,생활과 윤리,34미만,5085,3.57
1,윤리와 사상,68,1527,4.46
2,윤리와 사상,65,2303,6.73
3,윤리와 사상,59,4642,13.56
4,윤리와 사상,52,5815,16.99
5,윤리와 사상,45,6827,19.95
6,윤리와 사상,41,5719,16.71
7,윤리와 사상,39,3705,10.83
8,윤리와 사상,37,2351,6.87
9,윤리와 사상,37미만,1337,3.91
1,한국지리,65,1797,5.21
2,한국지리,63,3002,8.7
3,한국지리,59,4636,13.44
4,한국지리,54,4776,13.85
5,한국지리,47,6633,19.23
6,한국지리,41,6415,18.6
7,한국지리,37,3798,11.01
8,한국지리,33,2738,7.94
9,한국지리,33미만,694,2.01
1,세계지리,66,1640,6.31
2,세계지리,63,1502,5.78
3,세계지리,59,3560,13.7
4,세계지리,54,4142,15.94
5,세계지리,47,5159,19.86
6,세계지리,41,4300,16.55
7,세계지리,37,3040,11.7
8,세계지리,33,1771,6.82
9,세계지리,33미만,866,3.33
1,동아시아사,65,1320,6.47
2,동아시아사,63,1492,7.31
3,동아시아사,60,2007,9.83
4,동아시아사,54,4151,20.34
5,동아시아사,46,3508,17.19
