등급,과목,구분 점수,인원(명),비율(%)
1,국어,132,"24,723",4.68
2,국어,125,"33,767",6.39
3,국어,117,"67,465",12.76
4,국어,107,"92,314",17.46
5,국어,95,"100,939",19.1
6,국어,84,"88,271",16.7
7,국어,73,"64,967",12.29
8,국어,63,"39,701",7.51
9,국어,63미만,"16,448",3.11
1,수학 가형,126,"10,675",6.33
2,수학 가형,123,"11,154",6.62
3,수학 가형,117,"18,197",10.8
4,수학 가형,110,"29,353",17.42
5,수학 가형,99,"32,479",19.27
6,수학 가형,84,"28,886",17.14
7,수학 가형,69,"19,815",11.76
8,수학 가형,60,"12,006",7.12
9,수학 가형,60미만,"5,947",3.53
1,수학 나형,130,"20,368",5.98
2,수학 나형,127,"17,421",5.11
3,수학 나형,119,"49,889",14.64
4,수학 나형,108,"52,334",15.36
5,수학 나형,92,"65,321",19.17
6,수학 나형,80,"57,723",16.94
7,수학 나형,74,"40,653",11.93
8,수학 나형,71,"25,221",7.4
9,수학 나형,71미만,"11,803",3.46
1,생활과 윤리,63,"13,131",8.05
2,생활과 윤리,61,"17,084",10.47
3,생활과 윤리,59,"12,576",7.71
4,생활과 윤리,55,"23,350",14.31
5,생활과 윤리,49,"34,080",20.89
6,생활과 윤리,42,"29,349",17.99
7,생활과 윤리,34,"18,973",11.63
8,생활과 윤리,30,"9,067",5.56
9,생활과 윤리,30미만,"5,510",3.38
1,윤리와 사상,64,"3,306",9.88
2,윤리와 사상,62,"3,743",11.18
3,윤리와 사상,60,"2,754",8.23
4,윤리와 사상,55,"4,039",12.07
5,윤리와 사상,45,"7,102",21.22
6,윤리와 사상,40,"5,195",15.52
7,윤리와 사상,37,"4,061",12.13
8,윤리와 사상,35,"2,210",6.6
9,윤리와 사상,35미만,"1,066",3.18
1,한국 지리,65,"3,828",5.68
2,한국 지리,63,"6,784",10.07
3,한국 지리,61,"5,341",7.93
4,한국 지리,54,"12,386",18.38
5,한국 지리,45,"14,486",21.5
6,한국 지리,41,"9,096",13.5
7,한국 지리,37,"10,096",14.99
8,한국 지리,34,"4,371",6.49
9,한국 지리,34미만,985,1.46
1,세계 지리,63,"3,686",8.94
2,세계 지리,62,"2,087",5.06
3,세계 지리,60,"5,007",12.14
4,세계 지리,56,"5,768",13.98
5,세계 지리,46,"9,509",23.05
6,세계 지리,41,"5,753",13.95
7,세계 지리,36,"6,061",14.69
8,세계 지리,34,"2,148",5.21
9,세계 지리,34미만,"1,233",2.99
1,동아시아사,65,"2,247",8.8
2,동아시아사,63,"1,846",7.23
3,동아시아사,60,"2,265",8.87
4,동아시아사,54,"4,118",16.14
5,동아시아사,46,"5,302",20.77
6,동아시아사,40,"5,108",20.01
7,동아시아사,37,"2,823",11.06
8,동아시아사,35,799,3.13
9,동아시아사,35미만,"1,014",3.97
1,세계사,66,"1,141",6.1
2,세계사,64,"1,432",7.65
3,세계사,60,"1,996",10.66
4,세계사,53,"3,126",16.7
5,세계사,44,"4,522",24.16
6,세계사,40,"3,294",17.6
7,세계사,38,"1,312",7.01
8,세계사,36,"1,306",6.98
9,세계사,36미만,591,3.16
1,법과 정치,65,"1,958",7.27
2,법과 정치,64,"1,392",5.17
3,법과 정치,60,"3,420",12.69
4,법과 정치,53,"4,386",16.28
5,법과 정치,45,"5,428",20.14
6,법과 정치,41,"4,753",17.64
7,법과 정치,38,"2,961",10.99
8,법과 정치,35,"2,100",7.79
9,법과 정치,35미만,548,2.03
1,경제,67,334,6.13
2,경제,65,280,5.14
3,경제,60,756,13.87
4,경제,52,864,15.85
5,경제,45,"1,120",20.54
6,경제,41,928,17.02
7,경제,38,748,13.72
8,경제,37,222,4.07
9,경제,37미만,200,3.67
1,사회·문화,63,"15,240",10.17
2,사회·문화,62,"2,034",1.36
3,사회·문화,60,"17,659",11.78
4,사회·문화,55,"29,822",19.89
5,사회·문화,47,"27,018",18.02
6,사회·문화,40,"24,381",16.26
7,사회·문화,37,"17,549",11.71
8,사회·문화,34,"11,939",7.96
9,사회·문화,34미만,"4,262",2.84
1,물리 Ⅰ,66,"3,210",5.52
2,물리 Ⅰ,64,"3,748",6.45
3,물리 Ⅰ,60,"6,448",11.09
4,물리 Ⅰ,54,"9,941",17.1
5,물리 Ⅰ,46,"12,163",20.92
6,물리 Ⅰ,41,"10,237",17.6
7,물리 Ⅰ,37,"6,889",11.85
8,물리 Ⅰ,34,"3,606",6.2
9,물리 Ⅰ,34미만,"1,909",3.28
1,화학 Ⅰ,64,"5,774",6.63
2,화학 Ⅰ,62,"5,470",6.28
3,화학 Ⅰ,59,"9,864",11.32
4,화학 Ⅰ,55,"15,120",17.35
5,화학 Ⅰ,48,"16,460",18.89
6,화학 Ⅰ,40,"15,261",17.52
7,화학 Ⅰ,35,"13,354",15.33
8,화학 Ⅰ,33,"2,599",2.98
9,화학 Ⅰ,33미만,"3,220",3.7
1,생명 과학 Ⅰ,67,"7,520",4.98
2,생명 과학 Ⅰ,64,"10,678",7.07
3,생명 과학 Ⅰ,60,"17,017",11.26
4,생명 과학 Ⅰ,53,"27,955",18.5
5,생명 과학 Ⅰ,45,"31,599",20.91
6,생명 과학 Ⅰ,41,"24,874",16.46
7,생명 과학 Ⅰ,38,"17,733",11.73
8,생명 과학 Ⅰ,36,"9,633",6.37
9,생명 과학 Ⅰ,36미만,"4,128",2.73
1,지구 과학 Ⅰ,65,"9,779",5.93
2,지구 과학 Ⅰ,63,"11,857",7.19
3,지구 과학 Ⅰ,59,"20,971",12.72
4,지구 과학 Ⅰ,54,"24,446",14.82
5,지구 과학 Ⅰ,47,"33,622",20.39
6,지구 과학 Ⅰ,41,"27,336",16.58
7,지구 과학 Ⅰ,37,"21,608",13.1
8,지구 과학 Ⅰ,34,"10,202",6.19
9,지구 과학 Ⅰ,34미만,"5,078",3.08
1,물리 Ⅱ,66,185,6.32
2,물리 Ⅱ,64,198,6.77
3,물리 Ⅱ,61,360,12.31
4,물리 Ⅱ,53,461,15.76
5,물리 Ⅱ,44,607,20.75
6,물리 Ⅱ,41,467,15.97
7,물리 Ⅱ,38,478,16.34
8,물리 Ⅱ,36,122,4.17
9,물리 Ⅱ,36미만,47,1.61
1,화학 Ⅱ,66,162,5.14
2,화학 Ⅱ,63,276,8.75
3,화학 Ⅱ,60,335,10.62
4,화학 Ⅱ,54,548,17.38
5,화학 Ⅱ,45,665,21.09
6,화학 Ⅱ,40,488,15.48
7,화학 Ⅱ,38,367,11.64
8,화학 Ⅱ,36,201,6.37
9,화학 Ⅱ,36미만,111,3.52
1,생명 과학 Ⅱ,66,423,4.98
2,생명 과학 Ⅱ,64,599,7.05
3,생명 과학 Ⅱ,60,"1,098",12.93
4,생명 과학 Ⅱ,53,"1,367",16.1
5,생명 과학 Ⅱ,45,"1,833",21.58
6,생명 과학 Ⅱ,41,"1,362",16.04
7,생명 과학 Ⅱ,38,"1,148",13.52
8,생명 과학 Ⅱ,36,346,4.07
9,생명 과학 Ⅱ,36미만,317,3.73
1,지구 과학 Ⅱ,65,461,5.7
2,지구 과학 Ⅱ,62,927,11.47
3,지구 과학 Ⅱ,59,855,10.58
4,지구 과학 Ⅱ,55,"1,037",12.83
5,지구 과학 Ⅱ,46,"1,619",20.03
6,지구 과학 Ⅱ,41,"1,356",16.78
7,지구 과학 Ⅱ,38,945,11.69
